154
805,826,4,10
813,852,8,3
822,848,10,3
805,818,8,7
805,839,9,5
809,847,7,8
807,851,3,9
809,858,1,8
807,836,2,8
810,855,6,7
824,847,9,4
806,822,1,4
828,857,10,1
816,848,4,9
800,819,6,7
814,841,5,2
829,855,3,8
815,840,4,2
809,852,9,8
807,829,8,5
822,852,5,2
800,823,7,6
802,852,9,5
849,855,4,5
821,853,6,3
802,838,6,7
801,821,9,5
810,838,7,6
820,858,7,10
841,859,6,3
808,854,4,8
806,842,5,6
803,829,5,3
827,848,10,5
804,844,5,8
808,852,7,8
826,855,4,10
801,842,5,2
828,854,3,6
811,858,3,9
800,857,9,2
809,837,3,4
810,839,5,6
800,828,7,5
820,849,2,4
825,840,1,4
812,847,4,2
837,855,6,5
816,846,7,8
827,848,4,6
811,843,1,3
821,839,2,3
809,854,5,10
822,835,7,5
823,855,1,3
822,856,2,3
810,851,3,5
800,847,3,8
814,830,2,1
810,840,10,3
822,854,1,9
800,844,7,6
812,835,7,9
815,853,2,4
805,848,2,5
825,857,2,5
821,854,4,5
808,826,10,2
811,857,10,7
801,817,2,8
838,857,8,10
834,843,1,4
809,847,3,5
811,827,9,4
816,851,1,5
812,852,9,7
816,827,6,10
904,924,8,6
940,957,7,4
909,927,7,8
900,930,9,4
912,957,10,1
909,936,9,4
918,949,2,1
936,957,10,8
903,945,3,10
928,958,1,6
902,939,9,6
908,928,1,3
900,949,2,1
911,919,7,5
906,940,7,8
900,941,6,9
903,955,8,6
901,946,6,2
929,940,2,1
912,930,4,2
907,919,7,9
911,918,9,10
907,926,9,6
916,942,4,1
926,945,8,4
924,943,3,2
916,949,2,8
949,956,10,9
908,948,5,10
900,937,2,7
903,938,10,4
904,917,7,3
931,958,3,5
915,939,2,3
904,942,10,7
925,942,4,2
912,945,2,10
904,920,5,7
931,959,6,2
922,935,7,3
921,943,4,9
915,936,4,9
901,930,6,9
900,915,5,6
907,939,5,9
903,916,10,9
900,944,9,4
927,953,10,7
923,941,8,4
900,937,9,3
906,927,1,2
928,949,7,4
901,943,8,10
903,940,7,10
906,944,8,3
923,954,2,10
915,943,3,8
923,946,1,2
904,939,8,6
930,956,9,6
901,932,8,3
932,956,4,7
906,952,10,6
912,946,1,8
905,955,1,10
902,933,9,8
900,948,8,3
907,941,4,7
905,925,10,6
902,927,9,8
924,952,1,10
914,956,9,2
908,932,1,10
916,936,9,4
932,948,10,9
904,941,5,3
932,944,7,3
