108
817,847,4,6
834,851,7,1
800,832,5,6
809,840,7,10
806,842,10,3
816,847,9,7
806,856,2,3
814,834,7,5
813,852,10,5
800,849,3,2
813,853,1,3
823,840,9,3
808,851,6,9
843,858,2,1
829,850,6,2
816,857,1,2
831,853,5,1
811,850,3,2
802,832,2,10
806,842,2,10
829,848,1,5
804,832,10,1
801,849,8,10
805,824,7,6
821,835,10,6
800,822,10,2
808,842,2,6
800,819,3,4
818,842,1,6
825,855,2,4
807,840,8,5
809,825,10,4
838,857,5,10
804,822,4,5
806,839,9,1
816,835,1,10
800,819,10,7
800,837,10,5
813,844,2,1
816,846,5,4
808,850,3,8
800,839,9,8
807,854,5,2
802,814,2,8
804,842,3,1
806,842,7,9
823,835,8,7
813,855,7,3
822,845,2,3
800,837,2,6
821,858,8,10
848,859,6,5
828,851,1,6
811,856,10,8
909,958,9,2
906,952,4,7
926,944,6,7
915,941,1,3
913,935,3,9
908,930,7,9
900,954,10,3
912,950,3,4
928,953,10,7
930,957,10,8
903,953,10,9
904,952,6,2
933,947,10,9
900,956,10,5
923,928,5,1
934,956,3,5
934,958,4,8
924,948,3,5
912,933,1,7
909,953,8,2
905,959,9,5
930,952,3,2
907,941,7,2
904,936,9,8
906,958,6,4
926,947,5,2
927,946,2,1
908,931,4,8
936,950,10,9
927,956,6,2
905,928,3,6
908,944,10,2
911,959,8,10
904,956,6,1
900,909,9,10
901,948,3,4
929,944,3,7
916,938,7,5
912,940,4,6
907,940,1,2
905,935,8,2
918,945,1,2
906,930,4,2
902,916,2,8
913,931,2,3
927,951,5,8
907,933,4,7
903,952,4,1
908,950,3,2
932,953,7,10
903,915,8,9
916,934,2,8
926,950,6,8
913,946,3,1
